draw,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,R_P,has_coexistence,has_parasitoid_free,score
36,0.019660208074061273,0.009151353037895023,0.005181165202723924,0.0256024615045249,0.02175506570528922,0.16391862595556042,0.6278414037552883,0.03944846448202771,11.808708292091367,0.7692790475216866,0.6400954862502374,0.032343402575753376,59.279287908760935,2.210073761433822,1.8030747145977952,0.06175287182595512,False,False,12.138247128174045
37,0.037186083558189933,0.0007162260680651445,0.009230813540021886,0.003965157146250544,0.008936230563004875,0.07514040720954568,0.6866204834752783,0.04249975923965974,7.033117607554036,0.74852598324488,0.5047027480532384,0.06569249979264447,47.22374709362105,1.5413164649912063,1.93025558207449,0.44980033794074686,False,True,10.750199662059252
38,0.030777196597020887,0.0001841879682640435,0.0003663370937654664,0.01905709519062728,0.03135711394278155,0.09479365140878825,0.7828803313435946,0.06653148893006812,13.452664559783232,0.5618680484714247,0.6371979383802373,0.03718828329562264,57.17732208899292,1.7922756613688997,1.4359058559045113,0.014196394117777063,False,False,12.185803605882223
39,0.02019396518869712,0.002116283229645296,0.00912037319189309,0.019482534418594575,0.025004540544005634,0.15061425974088405,0.6792232691174322,0.025842384027589337,8.782305019353455,0.518023776349865,0.6663962964048991,0.074548774163839,53.17742495334013,2.4903083122611855,0.9951704508945955,0.16862091620787742,False,False,12.031379083792123
40,0.039917356333484276,0.008547879489264975,0.002176863993359395,0.02946392614989357,0.023386504121855112,0.2378143829683112,0.5343811280395041,0.0383202877088485,15.521717935033475,0.557922047149775,0.5072608679090471,0.04235912315916942,62.25325287211556,1.5789486327837157,0.6567927451849513,0.04668686463231408,False,False,12.153313135367686
41,0.016074501194785058,0.0004460485967624517,0.00629093229841177,0.011301988038872755,0.020423728822118202,0.09950841467196724,0.9327919941926563,0.04441748250848766,9.717374923317607,0.7383267905401538,0.49604800074909733,0.060822445701651726,58.891204953271625,1.899108539410764,1.2950866895775237,0.061301367867229034,False,True,11.13869863213277
42,0.030623438362477048,0.00900203662731835,0.007492889544319775,0.026866259790331783,0.015235520555884015,0.19701389499623612,0.7892773912497522,0.03697113425325359,8.82879721819282,0.8359085899941691,0.3863902978733271,0.04451121749981463,53.316277622385726,1.807501203626055,1.0315285255353688,0.053822130821123214,False,False,12.146177869178876
43,0.006551304692384978,0.004717689954978974,0.004629054887939623,0.015907837988826595,0.04461171457430788,0.20861790192002205,0.5387731006437645,0.05981799866299074,7.7776382425455015,0.710157980004938,0.35707138702378854,0.05631303368348333,46.5709910630922,2.476597607148729,1.9387155666588003,0.022318164794863374,False,True,11.177681835205137
44,0.026541181140002437,0.0017535424353190322,0.006155847029627929,0.013058690814973711,0.02157570617898472,0.2087290186668539,0.9756826130759139,0.02789753735273339,10.040507999791688,0.6368899701981944,0.3587094702562125,0.0346961828497249,51.848650687366245,1.8826702096064512,1.9382657739621356,0.228877038056743,False,True,10.971122961943257
45,0.0249764750645362,0.007835393098692366,0.001723919931333271,0.01598281384502556,0.024261489188747296,0.08771428014347522,0.7234622803527634,0.05012698950320727,13.308767956753506,0.6204955016782345,0.6702499455417543,0.010307085897515104,45.95516695883697,1.5850980268348547,1.82567057757484,0.43617473687497327,False,True,10.763825263125026
46,0.01221858584264476,0.00703187554594811,0.00688509499581003,0.021599464971703723,0.034809732116352854,0.07445155282410175,0.5036975807624504,0.03886374314836338,8.06142474760156,0.5242344546084016,0.446729022238052,0.07090577233686293,57.22378750478212,1.7101562484730026,1.78688492752985,0.04832850818281139,False,False,12.151671491817188
47,0.025152199963351156,0.007699388396579856,0.0073111921246436775,0.0035308468562486764,0.02930319169141753,0.23022700027992626,0.8669408522785509,0.059663883285682257,8.958556438851033,0.5709228569969153,0.49792275466016844,0.09523024283314434,62.850568347404725,1.751194198236613,1.8794810923429515,0.03451436077691854,False,True,11.165485639223082
48,0.01803164729451365,0.0068189710753421276,0.005185267180740269,0.014295455827755266,0.03633403877114519,0.07507810343672855,0.8199068882702845,0.07142811990054804,10.155947822097549,0.5001499174456798,0.3526378328057538,0.08536575830832635,55.16949802832681,2.1648033603300334,1.5327500986275986,0.006853696079527459,False,False,12.193146303920473
49,0.014907907018374248,0.009102509732720695,0.008193149187381756,0.010898198615301113,0.042568427606640584,0.23092305647010097,0.5705423781879021,0.07358223164683042,9.983761133697744,0.7295200168249074,0.37659912717201355,0.08525712303328963,62.70467071625217,1.9766906134370616,1.3225132847973144,0.0037330734825181313,False,False,12.196266926517481
50,0.026030250366478342,0.0007585185974836328,0.003503207777371492,0.012007603220617256,0.006708969469984819,0.2214941759451205,0.421003551816301,0.020164127647475653,12.368137503750564,0.5168843947364147,0.3607084419833115,0.028093280108154796,54.92915906849231,1.9252353151290582,1.1901204572413497,0.1785114893681125,False,True,11.021488510631887
51,0.039492163172328926,0.005431781445223188,0.004593568286555236,0.014739552059423112,0.034842218062038625,0.06135111078088029,0.9832200272366848,0.04642823198150091,13.64217862967523,0.5131028886838793,0.6910068850090936,0.09995595619999806,47.991997263807384,2.194039896642174,1.778201744069442,0.9005098758599615,False,True,10.29949012414004
52,0.013388482394292099,0.007886930447941375,0.007220445508902805,0.0042360058844341355,0.019825561832396688,0.10242266071962154,0.7385641050599234,0.07320878579120775,9.055662821074336,0.888845283455181,0.49946896234847127,0.08274067799970124,62.46506946820041,1.6408272394265953,1.2102785202008728,0.029788212290204112,False,True,11.170211787709796
53,0.023950977758677758,0.009133074665576333,0.002261605471107705,0.01327799427609723,0.023465753316271102,0.1453509987014186,0.4970594194525215,0.06669550941897065,13.93031914940573,0.666721049082057,0.402805492692277,0.054997870474056736,50.76574525448742,2.257954453081524,1.0457892521250938,0.19036860342139444,False,True,11.009631396578605
54,0.030520915778806963,0.007338896032454384,0.005482960690752813,0.016224560881766648,0.028935038379090804,0.1869813517767,0.4556160314044837,0.07767556989953425,15.09051198158947,0.5930303471662224,0.6259721418146895,0.026631203830072316,47.73413891094575,1.9624397212093592,1.9074732921809268,0.1969972894285225,False,True,11.003002710571478
55,0.02859956920026419,0.0043231124433086385,0.005194819815384962,0.029418312502551485,0.013097591024176597,0.19931617773081706,0.41999156217052513,0.02293518773094801,9.500539004382324,0.7748169779756227,0.6771003914402551,0.025212481927492182,53.16918028053659,2.341371161787637,0.5848159576356058,0.20001141090119479,False,False,11.999988589098805
56,0.038027943935412825,0.008513309172670293,0.0007219950261393726,0.01086053114282515,0.008903803110574,0.11998132724856443,0.5678058867903101,0.022748718879631348,8.904631930371485,0.6576636979415675,0.3619600743803898,0.012114108076605396,49.91814382840098,1.897248719630846,1.1338833281154348,0.4325742740881608,False,True,10.767425725911838
57,0.02271107360919381,0.005650916317844883,0.005119159596920518,0.02924903204767775,0.032670641388610575,0.1636566995789152,0.5720720337214792,0.0532706871949338,10.675235255509024,0.7440232032077748,0.6721769990718665,0.03212968452763898,51.1887667728705,1.8910796510388972,0.9054075985989649,0.04397674273896861,False,False,12.156023257261031
58,0.034224357067570314,0.005965540269678873,0.002888632416912036,0.004159692408743708,0.04881444777977964,0.1692943408129377,0.8741578986512327,0.07462036287772716,12.881544475917451,0.5759965893550892,0.6925915922509065,0.035626604501588374,57.585463394981005,2.0810364787803564,1.3998684096984093,4.729235632815624,True,False,4.529235632815624
