scenario_key,scenario_value,equilibrium_class,trajectory_class,tail_sd,A_star,F_star,K_state,rho_star,bifurcation_type,multistable,R_P,regime_shift,winner_strategy,R1_resistance,R2_resilience,R3_recovery,latitude,T_return,D_star,K_star,peak_larvae,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping
sigma_F,0.6142857142857143,coexistence,coexistence,1.556533123050963e-11,1.761182374791533,0.02463453738897374,1.9568518453142727,0.8197488800632279,stable,False,1.1434981478082764,0,C,0.7907317740185508,0.7730335270555071,0.9999971070696427,0.85,5.0312635306912865,0.43077036929945733,1.9568518453142727,13.613584211955235,False,0,False,0.43077036929507867,False
sigma_F,0.6428571428571428,coexistence,coexistence,6.903647322763728e-16,1.7044380128035959,0.0335997507955962,1.958561949061564,0.7313387852601607,stable,False,1.1966841081714519,0,C,0.7885784150781106,0.7005901044412808,0.9999999383236602,0.9,3.1961291340911973,0.4217851186643627,1.958561949061564,13.384593877005223,False,0,False,0.42178511866436275,False
sigma_F,0.6714285714285715,coexistence,coexistence,7.58426711504582e-16,1.6516805428623798,0.04247954303261718,1.9601925267795972,0.7379870532048014,stable,False,1.2498700685346278,0,C,0.7865204552706379,0.6435835156719356,0.9999999620872302,0.95,3.291325080352388,0.4132250184249047,1.9601925267795972,13.164849245737495,False,0,False,0.4132250184249047,False
sigma_F,0.7,coexistence,coexistence,1.472877282518059e-15,1.6024598554079295,0.05127627422533541,1.9617503450465643,0.7442861327327753,stable,False,1.3030560288978033,0,C,0.7845496251120329,0.5977010202408042,0.9999999604970343,0.95,3.386045815138113,0.40505353455622295,1.9617503450465643,12.953620678236431,False,0,False,0.40505353455622295,False
delta,0.05,parasitoid_free,parasitoid_free,6.661338147750939e-16,1.938703319195817,2.4706784981284073e-33,1.9517766812472532,0.5192120379143607,stable,False,0.5192120379143609,1,C,0.7970967021152312,0.8738979506221252,0.999999999999998,1.0,1.5256858480549262,0.4574826708822248,1.9517766812472532,14.284395946697623,False,0,False,0.45748267088222494,False
delta,0.0642857142857143,parasitoid_free,parasitoid_free,6.661338147750939e-16,1.938703315215715,2.6847692347216594e-24,1.9517766813169073,0.6308514724494001,stable,False,0.6308514724494001,1,C,0.7970967017622984,0.8738979538912512,0.9999999999999989,1.0,2.1706814248070567,0.45748267051514246,1.9517766813169073,14.284395932239656,False,0,False,0.4574826705151424,False
delta,0.07857142857142857,parasitoid_free,parasitoid_free,1.012679207245471e-15,1.9387033128489175,4.6646759395954126e-17,1.9517766813583355,0.7369759512569141,stable,False,0.7369759512569141,1,C,0.7970967016981776,0.8738979529192092,0.9999999999999989,1.0,3.276539781480741,0.45748267029680745,1.9517766813583355,14.284395923642146,False,0,False,0.457482670296807,False
delta,0.09285714285714286,parasitoid_free,parasitoid_free,2.8778488203655314e-10,1.9387033108601464,4.460639288879871e-11,1.951776681398358,0.8377264760574195,stable,False,0.8377264764279315,1,C,0.79709670160051,0.8738979535787981,0.9999999999875643,1.0,5.647687133377703,0.45748267009626215,1.951776681398358,14.284395916436841,False,0,False,0.45748267002839427,False
delta,0.10714285714285715,coexistence,coexistence,9.159654496312158e-06,1.9386723170085294,4.125092965446665e-06,1.9517775667454318,0.9332906239210299,fold,False,0.9333263319221295,0,C,0.79709555895631,0.873971807643749,0.9999991184066453,1.0,14.484643772199735,0.4574783153545911,1.9517775667454318,14.284284579084767,False,0,False,0.4574769339431327,False
delta,0.12142857142857144,coexistence,coexistence,0.00020734281669996128,1.9015472919242016,0.005413982982949808,1.952804397412262,0.9730323828540942,fold,False,1.0240397754375523,0,C,0.7957670602881592,0.9268692297010312,0.999781102356097,1.0,36.57923317131474,0.4520749277534018,1.952804397412262,14.149403257450802,False,0,False,0.45204772283881767,False
