sample_id,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,equilibrium_class,trajectory_class,tail_sd,A_star,F_star,K_star,rho_star,bifurcation_type,R_P,regime_shift,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping
41,0.02387815415097813,0.004713918537732822,0.002793045836153059,0.017392509164193666,0.028009635499830866,0.07145982974679072,0.9748035914320576,0.038312350476890175,10.321192546633469,0.8069982838409784,0.5567854030441932,0.05177616637512036,50.08842166720059,2.0645655344100002,0.7045913701292796,parasitoid_free,parasitoid_free,2.188175376898992e-12,0.5353629465316432,5.920436822890415e-56,2.0448898724049935,0.7949293117782666,stable,0.3080116355808831,1,False,0,False,0.18494751675370472,False
42,0.005279781918840677,0.00968954504981031,0.0024918211738684396,0.011769752119798391,0.04820867691608174,0.2273140492770162,0.4425203104923762,0.02226640764055302,11.293623393638548,0.6813062709545978,0.3903851740164488,0.0552821481029147,49.574143469822694,2.4067076270846632,1.034317757085659,parasitoid_free,parasitoid_free,4.440892098500626e-16,1.3606141175296147,3.6822534921241384e-78,2.359252363066894,0.6345687220758683,stable,0.1963240459940462,1,False,0,False,0.36024124971298943,False
43,0.025858491414803227,0.002875773521667033,0.0015985400379306461,0.014615698440438057,0.012024957764294198,0.10310333886551071,0.7020346803639144,0.037706225789026285,11.275000098365233,0.8177064594032963,0.674569374339387,0.07248563065813445,46.22898109638904,2.186019722124615,0.6487802849345613,coexistence,coexistence,2.5580465713280127e-11,1.1756779162970494,0.11153551773677571,2.133697568774743,0.8122464456218144,stable,1.7205114937037718,0,False,0,False,0.33421781697766734,False
44,0.012286942624543933,0.007157665567703077,0.006639782655625396,0.007086788845953482,0.038218583564083704,0.16632266883835056,0.6296435082825109,0.058697595151375584,10.680545893767206,0.8590884221863464,0.33769906934319177,0.07655482794959585,45.55830865279573,1.584290929036468,1.169334206382388,parasitoid_free,parasitoid_free,4.440892098500626e-16,2.5153519465611014,3.759903675653205e-107,1.5033662561253334,0.35344725314801584,stable,0.10482711799724571,1,False,0,True,0.6848709713600254,True
45,0.014466040792439582,0.0033143257380578075,0.0033409345154460906,0.007631186270978336,0.0345252765414839,0.17417174793135348,0.8013908453661958,0.06990949395563398,15.751165312930876,0.544925852084902,0.5963371164241117,0.09709222298044343,57.46193862318502,1.7354380142054062,1.7115112408465638,parasitoid_free,parasitoid_free,6.661338147750939e-16,1.2191595158762376,3.2162138035243254e-81,1.6683846434431837,0.5732386759310671,stable,0.1817706116187954,1,False,0,False,0.4058405415560492,False
46,0.025698486958750183,0.0013493419785656924,0.008218354700977176,0.01717091759591385,0.01803201315263695,0.23101461527816358,0.44999609536984936,0.03872865813995857,10.219894032175592,0.8422988244285172,0.4926998317842137,0.028543179837250805,48.773542900152066,1.9245536588489416,0.6398988329336156,parasitoid_free,parasitoid_free,4.258396418696598e-15,0.6859693212400739,5.114350169108667e-69,1.9114160574549333,0.7481889178682262,stable,0.23456114993103128,1,False,0,False,0.2399773486840961,False
47,0.03586358228611134,0.0060498351888275915,0.0017804979838790711,0.015309309465981025,0.04128490591354478,0.21860530103090753,0.7380464343968487,0.04513872056002243,8.515399896678364,0.7076259579581712,0.41765321583525017,0.09798667434187296,46.98528865173036,1.9480511612587885,0.5938215822587425,parasitoid_free,parasitoid_free,5.42143915162524e-08,0.2660526279409304,1.0832662304487556e-92,1.9258783439130411,0.8786647795639357,stable,0.13259759179965172,1,False,0,False,0.11682531890098351,False
48,0.012713574943410489,0.008443334843308567,0.0038926203704915427,0.008541002851621127,0.018548302080611284,0.1513422200818983,0.8473985986406736,0.07869342577346802,14.93900831491161,0.5879907954460688,0.3013576859520371,0.01641721137607558,46.06378394508687,1.8092724301673535,1.3395550080337926,parasitoid_free,parasitoid_free,2.220446049250313e-16,2.4264487558674928,7.052687706495806e-86,1.790502313931128,0.43125588499847317,stable,0.16696690551780496,1,False,0,True,0.6352229467974849,True
49,0.014918098219118252,0.0015385998960454723,0.004418936479830275,0.026528097656422084,0.04061543179929614,0.1257505136073101,0.5805900047037378,0.05208484977154243,12.824233319497655,0.5822182855135952,0.34926653464746904,0.010134256823819911,56.284703277157526,2.1598214298646323,1.8048671945224672,trivial,trivial,1.282349601533917e-31,6.630855680691669e-32,1.7860687094939785e-185,2.1598214298646323,0.5197953032660022,stable,0.018620349348160394,1,False,0,False,8.152250513709018e-31,False
50,0.038046397104596896,0.007887789154716595,0.0013360388040174363,0.015772849006523638,0.03917253169239462,0.13312719319558994,0.6557493894074896,0.04701291711050948,6.806652981094214,0.6652704694662879,0.48880970446295646,0.027577095441094816,50.857446608084764,2.383368470262443,1.8679275651789602,trivial,trivial,4.440892098500626e-16,2.849366173125671e-16,2.026329197534319e-143,2.3833684702624436,0.7288221888021669,stable,0.044746639246284615,1,False,0,False,5.534316385148564e-16,False
51,0.014761093261592383,0.005925006945308822,0.0051197467535601905,0.027200116690043814,0.04327018382000069,0.14579230548266559,0.7059221614529625,0.056636599192172524,12.944660785910063,0.6743071963490835,0.454966845431693,0.08024219212960074,56.8906200777825,2.058839320094188,1.0456277787615276,trivial,trivial,4.440892098500626e-16,4.961751627479012e-28,2.559165243815268e-186,2.0588393200941875,0.5653105458906026,stable,0.01814025174136403,1,False,0,False,3.7853591596177925e-27,False
52,0.022975641498028287,0.003107290901982783,0.004375109062309718,0.013893406311748232,0.037459429214546765,0.05720124789084795,0.7307453010695868,0.0348546208011571,7.19473074415882,0.8383202646113013,0.6306840753549028,0.06570701379106618,56.40589889625602,2.4182235006044284,1.443808500130404,trivial,trivial,1.7548425486609568e-08,2.938927480861021e-08,2.2535677593910564e-112,2.4182234986371025,0.8663914821168368,stable,0.08830518691934497,1,False,0,False,2.0303876008323645e-08,False
53,0.03743912578338686,0.007042894911061355,0.008129485319003048,0.020386062949036426,0.005972565990455905,0.21197870928279894,0.9622917797836996,0.0496254224110086,6.171689337692883,0.5358154382957538,0.6554535739534889,0.03966405040459511,57.145820868022454,1.5297617533105368,1.6441365624066084,trivial,trivial,2.220446049250313e-16,1.7538245692830882e-54,3.3774043160749445e-151,1.529761753310537,0.31945844419242564,stable,0.038453202821127325,1,False,0,False,6.254055431283416e-52,False
54,0.02315742079396321,0.0021440934446925754,0.007222314483759711,0.0048444049294365035,0.02455363474314004,0.2084654626457484,0.8607174791605972,0.07908757653213828,8.371278608691611,0.7494990449854687,0.3472393046472733,0.08874004003759728,55.16942346528991,2.2928293000619013,0.606831154502353,parasitoid_free,parasitoid_free,4.440892098500626e-16,1.2394988279291534,2.1942314560685256e-101,2.217682645266933,0.6477844613600551,stable,0.11791904108343587,1,False,0,False,0.37552112835803786,False
55,0.015637115490288456,0.0013129398682926458,0.0007480540808996475,0.009073591187326781,0.00805352307233418,0.08976827943089737,0.5251576094706829,0.07347705031904704,13.689269768855045,0.8234840253007875,0.38702109571502413,0.05048338198182103,56.71280904597098,2.463664150840343,0.7706171351327318,parasitoid_free,parasitoid_free,4.440892098500626e-16,2.791268028391722,1.591540861108866e-96,2.4006385290822148,0.45178149635725107,stable,0.13361212840475906,1,False,0,True,0.5133368089279424,True
56,0.026837269343584852,0.008343529623826685,0.0004081384922951694,0.021849436457131513,0.0055429900879842555,0.16275490786089544,0.9920479536884507,0.030274637453683598,6.952389300073688,0.646080786882549,0.4329845738688128,0.04084593982983348,51.09737719452787,1.54743551938937,0.6218306446844644,trivial,trivial,4.440892098500626e-16,3.0492427238061633e-31,5.2246031066778435e-111,1.5474355193893705,0.528539604457859,stable,0.09218040049044263,1,False,0,False,5.590814317152935e-30,False
57,0.020829019667502238,0.004076851101265412,0.006684031663834922,0.015994842421954533,0.014511043775736043,0.1527987940472079,0.9022473173081493,0.021923395649814728,8.71872570693776,0.6782431717365766,0.305038443708468,0.05572107427873226,51.34276204928388,1.9334948423009377,0.8906431280531577,trivial,trivial,3.946858724881509e-07,8.535850470382005e-07,3.8517342786279985e-105,1.9334947945768641,0.8963544466535649,stable,0.09897132161074941,1,False,0,False,6.322983303553139e-07,False
