idx,g_low_density,A_star,F_star,K_star,R_P,mu_S,mu_I,T,R_B,sigma_A,sigma_F,beta,delta,eta,mu_F,c_B,kappa,phi,K0
26,0.2545325632406771,1.4587753227601752e-10,-5.618152170957912e-22,1.1276077464935095e-12,,0.027626424268743278,0.04557650663604016,57.508861417678744,6.80520627530249,0.6017946485556959,0.48369894532306146,0.03141963537221916,0.116371443330613,0.85648161571746,0.061690420470214655,0.020132545396713348,700000000000.0,0.08395208352253683,1.5466627316512582
27,0.35815940311198613,5.032091132672889e-10,-1.3644512003655897e-19,1.0891357151747645e-12,,0.02379387406615291,0.020016351476283722,60.63918995051021,7.901598042072795,0.67153380285913,0.6240333416128432,0.03471882887460558,0.16069865314773496,0.6563192455977085,0.0337784192799026,0.020228278381778878,700000000000.0,0.0959382457258648,1.861713340232463
28,0.9760171806219483,0.003846165708248393,1.171102289000394e-28,1.7673308830683505,0.02769758367648645,0.008036731065284696,0.027834807239867036,61.80803287954559,7.968186080078399,0.7310738812668655,0.6418497574974735,0.01839433861910559,0.07397097308462276,0.9713533831102154,0.05108325179705732,0.020440337784242923,0.2662063966472498,0.09933759721197738,1.8093789317415905
29,1.2820701046956666,0.6572548572493238,3.085363742419109e-23,2.004884483498236,0.8788104470351457,0.006720673878213131,0.011809752184278186,51.87231472123268,8.10205251187994,0.6740056288453357,0.6876198797966468,0.03333853214118579,0.13553328885088106,0.5494130777114419,0.02349797778623921,0.020793092120805334,0.005945783257395177,0.08963842616567035,2.127647571685201
30,1.2399625835610122,0.6881348525631423,0.003723286704523139,2.2619025149204077,1.1569754910570251,0.01633579411925606,0.009752289020607482,53.67727881860419,15.581466918674856,0.647376850551121,0.5997401720747195,0.03659680801197714,0.13860688413246341,0.93760015724956,0.06879195631708011,0.022385507401520014,0.0035300457684545134,0.07408055738345207,2.3763712836255113
31,2.274384027108611,2.1552203074498926,-1.979934182441623e-15,1.5104882548833345,0.9573009421617863,0.009974325260994853,0.03767994904290883,45.46022232937938,11.06438414963295,0.8659106359147277,0.6770774041686091,0.02077136018111131,0.08641612133420414,0.783345423973296,0.03562826914706619,0.021016773264571614,0.002768782001338095,0.06530909954985424,1.578576454773015
32,2.999447694457352,3.995247644496794,0.14364831951236637,1.816111555972023,4.845911296421876,0.007668095873076066,0.044127832737645006,49.02398673758467,15.14144628621614,0.8249524977829871,0.3272660025344917,0.02546382975460837,0.20322184263576287,0.9068155916182142,0.07325070149039159,0.020946169841220042,0.0013429376084866634,0.09760734621792623,1.9412577453149014
33,0.4691657207039586,1.164948693066492e-11,3.780819652992384e-08,2.4360825605520092e-11,,0.013976667649474833,0.011476132720220158,62.494123209008045,8.29304892250379,0.5122467050202515,0.6359989317524734,0.009772774754099631,0.08181689289076899,0.9784565739078456,0.03952798273012574,0.02097352727909885,700000000000.0,0.027428712478586248,2.426846698149381
34,0.807873475398786,7.552420415465971e-12,-2.775969558388436e-14,4.874271902829669e-11,,0.021436908295309653,0.03898036793706127,51.21928931834918,11.121075887412145,0.6323177500485582,0.6037336552097794,0.019529226185440885,0.18728287270881594,0.4621990051575848,0.0609036149733128,0.0202941228214486,700000000000.0,0.02263437424908644,1.8399528473616908
35,0.8388012115041478,6.898061766075568e-05,3.318234976252417e-15,4.179076907327383e-12,0.007786834192394073,0.021736265776925563,0.019026206146172783,56.32658272210555,14.56707305829107,0.6837628286373453,0.36405577112404425,0.017392889154866364,0.15179032044540464,0.8335902382357521,0.06826035851224711,0.021775013863302637,143873013295.07407,0.04616437330671395,1.8852457518776946
36,1.057226563125594,0.13969508123106142,1.1259905223294008e-21,1.4758004126599717,0.08883202493821843,0.01765584281507398,0.047917035575501934,45.17575825008627,12.121774982284817,0.5138237263073306,0.31692691016864544,0.005315218054839123,0.16540633884715106,0.5705127990227575,0.02983983795893431,0.020926588137048344,0.02032683680770646,0.05502776084895918,1.53154773776354
37,0.9234622148708621,0.0002370253079363992,7.175666336012707e-66,0.022158666545429636,0.013635785691389922,0.01394138043111719,0.02106303750576755,58.11017703253016,11.23860893675571,0.6328989460367687,0.5456099061992489,0.02820863582660718,0.1876623781753743,0.9116224659302739,0.06351804901142946,0.02071517350843525,937.6349391915002,0.07025701246701957,1.7017559013381591
