plane,x,y,code,A_pf,K_pf,maxeig_pf,A_co,F_co,K_co,maxeig_co
phi_RB,0.0668421052631579,8.631578947368421,2,1.6168518425350218,1.6499768923749811,1.1822141647517586,1.4382480431260116,0.019038996534437604,1.654351825278229,0.7322543033437577
phi_RB,0.07157894736842106,8.631578947368421,2,1.6125510949382595,1.6458153123757318,1.1753368822720223,1.4399374934680262,0.018466884427138626,1.650322948649687,0.7307362528322087
phi_RB,0.07631578947368421,8.631578947368421,2,1.6082842841548055,1.6416854681123465,1.1685474216815324,1.4416331137047615,0.017893000276524886,1.6463047200278136,0.7292107944227737
phi_RB,0.08105263157894736,8.631578947368421,2,1.6040509388659974,1.6375869287455702,1.16184410556678,1.4433349282028345,0.01731733867688498,1.6422971120578074,0.7674453984430659
phi_RB,0.08578947368421053,8.631578947368421,2,1.599850597256348,1.633519271985283,1.1552252990910543,1.4450429614201246,0.016739894210766347,1.63830009745061,0.7912808684496291
phi_RB,0.09052631578947369,8.631578947368421,2,1.5956828067613582,1.6294820838662756,1.148689408647465,1.4467572379059541,0.016160661449012893,1.6343136489827192,0.8083430270644849
phi_RB,0.09526315789473684,8.631578947368421,2,1.5915471238236167,1.625474958531343,1.1422348805629463,1.4484777823012334,0.01557963495080447,1.6303377394960048,0.8223968447981406
phi_RB,0.1,8.631578947368421,2,1.5874431136568719,1.6214974980214112,1.1358601998509994,1.4502046193386293,0.01499680926369827,1.6263723418975213,0.8346416263433674
phi_RB,0.01,9.157894736842106,2,1.8878743471936934,1.7013148311755812,1.6905876073307673,1.3352398813069546,0.05454398664669614,1.7034921278136461,0.7645991093850346
phi_RB,0.01473684210526316,9.157894736842106,2,1.8818158368343858,1.6961613315973425,1.6774682250253798,1.3367108852482477,0.054027965770531074,1.6993112901495824,0.7632353173420828
phi_RB,0.019473684210526317,9.157894736842106,2,1.8758155173698903,1.6910555572231594,1.664560430536771,1.3381872411188107,0.05351034052565141,1.6951415272156787,0.7618651825436192
phi_RB,0.024210526315789474,9.157894736842106,2,1.8698724023733657,1.6859967181388664,1.6518591821548356,1.3396689702555522,0.05299110589351366,1.69098281056516,0.7604886638575247
phi_RB,0.02894736842105263,9.157894736842106,2,1.8639855297104617,1.6809840435633778,1.6393595967487304,1.3411560940794318,0.052470256843131405,1.686835111820788,0.7591057197027802
phi_RB,0.03368421052631579,9.157894736842106,2,1.8581539607521218,1.6760167812361126,1.6270569435777007,1.342648634095697,0.05194778833108964,1.6826984026746608,0.7577163080420243
phi_RB,0.03842105263157895,9.157894736842106,2,1.8523767796189612,1.6710941968288158,1.6149466383899775,1.3441466118941083,0.05142369530156026,1.678572654888015,0.7563203863739402
phi_RB,0.04315789473684211,9.157894736842106,2,1.846653092455843,1.666215573380611,1.6030242377945694,1.345650049149175,0.0508979726863179,1.6744578402910286,0.7549179117254899
phi_RB,0.04789473684210527,9.157894736842106,2,1.8409820267350694,1.6613802107551947,1.5912854338898306,1.3471589676203832,0.05037061540475663,1.6703539307826227,0.753508840643962
phi_RB,0.052631578947368425,9.157894736842106,2,1.8353627305869813,1.656587425119127,1.579726049137671,1.3486733891524234,0.04984161836390729,1.6662608983302647,0.7520931291888502
phi_RB,0.05736842105263158,9.157894736842106,2,1.8297943721565593,1.6518365484402457,1.5683420314686218,1.3501933356754214,0.0493109764584556,1.6621787149697718,0.7506707329235511
phi_RB,0.06210526315789474,9.157894736842106,2,1.8242761389849023,1.6471269280052725,1.5571294496059578,1.3517188292051636,0.04877868457075924,1.6581073528051151,0.7492416069068806
phi_RB,0.0668421052631579,9.157894736842106,2,1.818807237414407,1.6424579259557346,1.5460844885977438,1.3532498918433236,0.0482447375708686,1.654046784008223,0.747805705684391
phi_RB,0.07157894736842106,9.157894736842106,2,1.8133868920165626,1.6378289188413713,1.5352034455460153,1.3547865457776882,0.047709130316545674,1.6499969808187867,0.746362983279495
phi_RB,0.07631578947368421,9.157894736842106,2,1.8080143450413297,1.6332392971902383,1.5244827255229736,1.3563288132823792,0.04717185765328415,1.6459579155440653,0.7449133931843962
phi_RB,0.08105263157894736,9.157894736842106,2,1.8026888558871776,1.628688465094762,1.5139188376647335,1.3578767167180803,0.0466329144143316,1.6419295605586905,0.7434568883508003
phi_RB,0.08578947368421053,9.157894736842106,2,1.797409700590774,1.6241758398130381,1.5035083914335923,1.3594302785322585,0.0460922954207092,1.6379118883044737,0.7419934211804232
phi_RB,0.09052631578947369,9.157894736842106,2,1.7921761713355457,1.6197008513847049,1.4932480930406753,1.3609895212593683,0.045549995481237684,1.6339048712902111,0.7405229435152842
phi_RB,0.09526315789473684,9.157894736842106,2,1.7869875759782043,1.6152629422607503,1.4831347420200987,1.362554467521115,0.045006009392554426,1.6299084820914913,0.7390454066277427
phi_RB,0.1,9.157894736842106,2,1.7818432375925126,1.610861566946654,1.473165227948256,1.3641251400266363,0.04446033193914135,1.6259226933505018,0.7375607612103559
phi_RB,0.01,9.68421052631579,2,2.1055070273841676,1.7000678976268804,2.223673880938952,1.2616057187063952,0.08073332872688684,1.7034475319838143,0.7782457376399746
phi_RB,0.01473684210526316,9.68421052631579,2,2.09797214218069,1.6943418593318624,2.2030721141864107,1.262950339270861,0.0802485745745307,1.699245708181181,0.7769440834474344
phi_RB,0.019473684210526317,9.68421052631579,2,2.090517843912998,1.6886747695792248,2.182851394987824,1.2642998486657147,0.07976230940927229,1.6950550475639556,0.7756364921109367
phi_RB,0.024210526315789474,9.68421052631579,2,2.083142613406276,1.6830655444493041,2.163001426131276,1.2656542664970676,0.07927452844526033,1.6908755214033755,0.7743229267345778
phi_RB,0.02894736842105263,9.68421052631579,2,2.0758449730427704,1.6775131291660157,2.1435122754000377,1.2670136124501612,0.07878522688407805,1.6867071010415724,0.7730033500417198
phi_RB,0.03368421052631579,9.68421052631579,2,2.0686234852675027,1.6720164970619942,2.124374359586841,1.2683779062896117,0.07829439991475104,1.6825497578913722,0.7716777243690011
phi_RB,0.03842105263157895,9.68421052631579,2,2.0614767511605563,1.6665746485893982,2.1055784293410746,1.2697471678596524,0.07780204271375062,1.6784034634360947,0.7703460116602112
phi_RB,0.04315789473684211,9.68421052631579,2,2.05440340907236,1.6611866103739779,2.087115554798471,1.2711214170843779,0.07730815044500257,1.6742681892293507,0.7690081734600435
phi_RB,0.04789473684210527,9.68421052631579,2,2.0474021333187364,1.6558514343101471,2.0689771119454092,1.272500673967977,0.07681271825989461,1.6701439068948445,0.7676641709077126
phi_RB,0.052631578947368425,9.68421052631579,2,2.0404716329325545,1.6505681966949308,2.051154769676129,1.2738849585949812,0.07631574129728345,1.6660305881261719,0.7663139647304464
phi_RB,0.05736842105263158,9.68421052631579,2,2.033610650469035,1.6453359973988033,2.033640477500983,1.2752742911304953,0.07581721468350384,1.6619282046866224,0.7649575152368234
phi_RB,0.06210526315789474,9.68421052631579,2,2.0268179608620165,1.6401539590715348,2.0164264538682772,1.2766686918204508,0.07531713353237589,1.6578367284089794,0.7635947823099912
phi_RB,0.0668421052631579,9.68421052631579,2,2.0200923703285665,1.6350212263812804,1.999505175061336,1.2780681809918273,0.07481549294521768,1.653756131195323,0.7622257254007194
phi_RB,0.07157894736842106,9.68421052631579,2,2.013432715319469,1.6299369652852582,1.982869364645054,1.2794727790529066,0.07431228801085152,1.64968638501683,0.7608503035203162
phi_RB,0.07631578947368421,9.68421052631579,2,2.006837861513372,1.6249003623304377,1.9665119834230158,1.2808825064934954,0.07380751380561779,1.6456274619135784,0.7594684752333866
