plane,x,y,code,A_pf,K_pf,maxeig_pf,A_co,F_co,K_co,maxeig_co
beta_B,0.00868421052631579,0.6578947368421053,1,3.495533910121156,1.6393005085481627,0.35270227874683774,3.4955339101211544,-2.382968404271758e-21,1.6393005085481627,0.35270227874683785
beta_B,0.010526315789473686,0.6578947368421053,1,3.4955339100178238,1.6393005085478378,0.4670862182218336,3.4955339100178238,-2.1176411351177462e-21,1.6393005085478378,0.4670862182218336
beta_B,0.01236842105263158,0.6578947368421053,1,3.4955339099723943,1.6393005085477095,0.6122347544686814,3.4955339099723943,-3.425149211950265e-20,1.6393005085477095,0.6122347544686814
beta_B,0.014210526315789476,0.6578947368421053,1,3.4955339099605163,1.639300508547691,0.7951260093340257,3.495533909960517,-1.5166611551588847e-19,1.639300508547691,0.7951260093340261
beta_B,0.01605263157894737,0.6578947368421053,2,3.4955339099610807,1.6393005085476173,1.0240942155984991,3.421104118557336,0.01020274327092771,1.6400582509396608,0.9758798040787912
beta_B,0.017894736842105265,0.6578947368421053,2,3.495533909948145,1.639300508547703,1.3090587952834913,2.7845822762779293,0.09097167806223867,1.6471453800010665,0.6052049830882109
beta_B,0.01973684210526316,0.6578947368421053,2,3.495533909942449,1.6393005085477192,1.661787501159555,2.335195837972828,0.13878192357866112,1.652968225874293,0.6488056081738633
beta_B,0.021578947368421055,0.6578947368421053,2,3.495533909937577,1.6393005085477454,2.0961981700892793,2.0040628417393997,0.1671090984836314,1.6578393887321172,0.6851457261172056
beta_B,0.02342105263157895,0.6578947368421053,2,3.4955339099318805,1.639300508547778,2.6287040290491337,1.7514637515601617,0.18352935120207992,1.6619750453664253,0.7158486352171155
beta_B,0.025263157894736845,0.6578947368421053,2,3.4955339099509697,1.6393005085475867,3.2786083681027067,1.5532302016165376,0.19248004211006967,1.6655300587368056,0.7420956681799095
beta_B,0.02710526315789474,0.6578947368421053,2,3.4955339099185525,1.6393005085478711,4.068554735419366,1.3939657082566879,0.19665246979847545,1.6686185136527567,0.7647668147616509
beta_B,0.028947368421052635,0.6578947368421053,2,3.4955339099097604,1.6393005085479326,5.025039667675603,1.2634691810438856,0.19772792703703992,1.671326403651999,0.7845297569201666
