scenario,year,A_t,F_t,K_t,S0,B_t,D_T,S_T,I_T,F_T,A_next,F_next,K_next,J_year,J_cum,uB,uP_mean,uC_mean,uP_max,uC_max
A (uP only),20,1.3016910105222261,0.06969476461756428,1.6725896037163164,6.977913144677109,1.0,0.5225073660206632,1.6603205821439568,0.04198654102839101,0.19378463349964348,1.2963765509766052,0.0702760389699509,1.672685079498331,7.845278689517733,153.9734898949385,0.0,0.0,0.0,0.0,0.0
A (uP only),21,1.2963765509766052,0.0702760389699509,1.672685079498331,6.962037183617846,1.0,0.5211422578626536,1.6547534905484516,0.0419775075808078,0.19429789401885622,1.2920297717586828,0.07046217300750861,1.672787514355377,7.827982336739597,161.8014722316781,0.0,0.0,0.0,0.0,0.0
A (uP only),22,1.2920297717586828,0.07046217300750861,1.672787514355377,6.94905207869374,1.0,0.5201302500363499,1.6515768708826801,0.0418455940847272,0.19401533226084738,1.2895494704901413,0.07035970192526315,1.672863457352091,7.814021677022636,169.61549390870073,0.0,0.0,0.0,0.0,0.0
A (uP only),23,1.2895494704901413,0.07035970192526315,1.672863457352091,6.941656331986243,1.0,0.5196283339698828,1.6507461694518168,0.04168222729657902,0.19335443674678512,1.2889008596932776,0.07012002802510642,1.672901123369634,7.806218518964958,177.42171242766568,0.0,0.0,0.0,0.0,0.0
A (uP only),24,1.2889008596932776,0.07012002802510642,1.672901123369634,6.939752273268992,1.0,0.5195751499422,1.651532155399853,0.041549829610996555,0.19267337884201927,1.2895145566885382,0.06987304222962946,1.6729051145856866,7.804351384609252,185.22606381227493,0.0,0.0,0.0,0.0,0.0
A (uP only),25,1.2895145566885382,0.06987304222962946,1.6729051145856866,6.9416254439790865,1.0,0.5197997536251648,1.6530255137589838,0.041475124302213166,0.19218538221091597,1.290680569312728,0.06969607014652214,1.6728882591797074,7.8065114537005895,193.0325752659755,0.0,0.0,0.0,0.0,0.0
B (uP + uB),1,0.5,0.1,1.7123548379451874,3.6890894545677906,1.35,0.24053889165830764,0.6440231285332794,0.0070637250014936055,0.07787754779825909,0.5028525762410542,0.028242309439694236,1.6939771323650399,4.435911614881696,4.435911614881696,0.7,0.0,0.0,0.0,0.0
B (uP + uB),2,0.5028525762410542,0.028242309439694236,1.6939771323650399,3.6962559017167775,1.35,0.24865616584606257,0.7161099239950628,0.0022930920942893455,0.02306385761929053,0.5591378697420416,0.008364112920509984,1.693360406853978,4.468078402791751,8.903990017673447,0.7,0.0,0.0,0.0,0.0
B (uP + uB),3,0.5591378697420416,0.008364112920509984,1.693360406853978,4.006951100729747,1.35,0.2721149284924866,0.800086914406593,0.0008418208250898185,0.00765491636285565,0.6247070148588946,0.0027760570635171036,1.6915793440602616,4.800343692521823,13.70433371019527,0.7,0.0,0.0,0.0,0.0
B (uP + uB),4,0.6247070148588946,0.0027760570635171036,1.6915793440602616,4.348972962804951,1.35,0.2963198520955749,0.8771762891939798,0.00034057497017638244,0.002847027103853979,0.6848983169957191,0.0010324749908475934,1.6897435939983834,5.160309325293493,18.86464303548876,0.7,0.0,0.0,0.0,0.0
B (uP + uB),5,0.6848983169957191,0.0010324749908475934,1.6897435939983834,4.645783640496728,1.35,0.31701251131334784,0.9409559843708455,0.00014856601313117417,0.0011648172837087857,0.7346974353978757,0.00042242123817800843,1.688175800772247,5.471300439934672,24.335943475423434,0.7,0.0,0.0,0.0,0.0
