idx,R_P,Dmean,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,c_B,kappa
33,0.16893363573609552,0.6778901911540633,0.005340503390706914,0.006879821474149751,0.004572948321410434,0.008891491320056316,0.020889421763315767,0.09773445274261455,0.9354628938026851,0.02526584847901507,15.018962478286229,0.582867007410282,0.42346178004541785,0.053026213278461354,62.60477830386928,1.6326119565977373,0.02089703458093684,0.0036362934198063378
34,0.03191908998554728,2128523.2093604645,0.01211780540801237,0.005218894622600287,0.009224321304669629,0.011518627843480605,0.02900105941896276,0.0627194921634908,0.6964137002917312,0.0488285781415522,8.773693973099732,0.777804641498716,0.6021040912993395,0.08434875562750867,60.15444508326877,2.4281110497892393,0.0215720828736206,22420.296531104992
35,0.13576657951753857,19093936438.669647,0.010743455125147584,0.008543037344953248,0.00890807273383321,0.011681572382497306,0.009758767321420296,0.21262961296465877,0.8887654307699875,0.028161948167891488,9.34128188177159,0.5788320173381574,0.6407829171571672,0.07811032979678179,55.10107638728577,1.5912454230498085,0.021059296131727256,211786930.0216564
36,0.1859065575535762,0.6938125461350252,0.0211202753379341,0.006515399491034191,0.00036182385680734425,0.014037478235423374,0.03432900371984907,0.09676763370879238,0.7782528117573824,0.03617221354823827,10.64690474279751,0.7419141138950446,0.5568072784782755,0.014157844626297007,54.38930238769757,1.5725969966306863,0.020048464975328886,0.008798368460096621
37,0.04602875693413631,39204468674412.68,0.019611388620058835,0.007598679369644717,0.0025185714436524414,0.024550514924243143,0.036050459847355075,0.24376088429004,0.9137811933524523,0.04167084509138761,6.695964180037644,0.6577920353993052,0.5258400308353646,0.02122644956720382,58.45167532335912,2.3683713066272567,0.020319526714970487,700000000000.0
38,0.049009721393496915,0.7503977672969031,0.03804514319853999,0.00729064375818985,0.003280743919527035,0.01643982391573233,0.04269206853795867,0.11624064697469218,0.7565626827868337,0.05515786004155718,10.466861341927139,0.6643442751316743,0.6512738675227667,0.0341490788713688,51.77590949032418,1.54073004175757,0.020423258161560907,0.0606153485742281
39,0.10765397658805184,51192262682203.17,0.0065798859816755964,0.007816085458360864,0.0015678254326028699,0.02128616955104781,0.04814336548640116,0.1888260471948368,0.9043245993015445,0.02394107611753661,8.810497134583681,0.7264707372935965,0.37078209339609985,0.09903874281267995,51.6556721021457,1.8250074560342369,0.02020167531757032,700000000000.0
40,0.01961692323073454,40333562655715.99,0.011038736046799107,0.004916930675525727,0.0061727771707106105,0.01776135219866335,0.040983538740578945,0.10883221224023583,0.6424925379464939,0.05534440458706162,6.376404972227947,0.6497113208083309,0.4446725789615463,0.06683529157163152,56.39134871091677,1.8431592350752322,0.020580375853235737,700000000000.0
41,8.142534439328541,0.3402810467192042,0.03555226442578965,0.004059901324782476,0.00027902170550558555,0.006874178822344571,0.04254557512922664,0.23953412966111287,0.5117866892885533,0.04122265362605256,13.598532312406526,0.7803858441449507,0.626930243648733,0.04626896612631628,50.92543435357306,1.791822421647352,0.02005438948921839,0.0016760995602758029
42,,28223.87766249905,0.01237679767153227,0.004099348471247566,0.005460743534581166,0.01955189048953975,0.04075577729082522,0.1808298915367652,0.4018466899960541,0.035640106150897966,10.302098302971398,0.7881964218171323,0.5129840582272264,0.09576900517227332,52.990581925600345,1.8309855154373023,0.020824047726552088,321.4935930963437
43,0.02324797356328196,72297203885905.47,0.013345715755970232,0.0005924742372324891,0.006358041683432795,0.029168794025750303,0.039200646198373955,0.24304946700371782,0.9837200158020737,0.0683117806801784,14.381255195607766,0.5038202956171249,0.620219722423629,0.07345552844787369,48.07158945609504,2.00636093831437,0.021467638901495775,700000000000.0
44,0.12583319322090125,48528040908040.23,0.013786893971539867,0.002347499654252866,0.007293349023297171,0.02861222451544128,0.028421179177718598,0.07185306544225614,0.7051603323497713,0.03233708973077569,9.55538964634309,0.7820120645983613,0.5517558283831396,0.08266120623766618,45.710620667925795,2.092101942412566,0.021166401926213503,700000000000.0
45,0.3514418956972101,0.6682830059307494,0.0071570527653282145,0.003769260914217707,0.009702193870153756,0.0049698082720995365,0.047262768211902305,0.1740928761280667,0.9621977972402862,0.03130390387040247,12.297617405442246,0.5557841522865347,0.6196494191771207,0.07742925690913298,56.26650941141993,1.9190837284586655,0.021831786424468348,0.0026976776248209848
46,0.025250929319303023,31437941693916.312,0.021463159795840146,0.00617173304581283,0.007166831946922502,0.029825577440603667,0.030151268571574085,0.19731964439801902,0.6904618498336105,0.04295962190418007,6.334616122740074,0.7964723531536281,0.30595913438422395,0.08686111572266857,58.068215755473204,1.6493102583753012,0.020599017996086183,700000000000.0
47,0.09269177988237785,0.6888277321517199,0.0220362488778654,0.008746253736477905,0.0024463812891584234,0.010215983920873311,0.017649847664618024,0.06345423299569365,0.6060113348728696,0.05764966712734178,9.810247721687082,0.6275715318215535,0.34820562657909726,0.026652391500570152,48.171939901260274,2.3074389870938945,0.02044302102111975,0.004164674050622599
48,0.007822312602041059,57095128619174.484,0.03746441398815049,0.008914592036704912,0.005669688919601104,0.027249232680734085,0.033279780516403644,0.24685245665941385,0.5880118837552769,0.06846392716486223,10.531292215787978,0.674225577328629,0.38182386890002457,0.014455706314366015,56.78872730149941,2.3631984402715824,0.02112883657603918,700000000000.0
49,0.3164560908321933,0.6882166426792204,0.0053777557466234555,0.007057846060248125,0.0062116409663723615,0.013098339537840769,0.009555301423947692,0.20158975697949877,0.7688557395216886,0.02504882977169444,13.538026358994422,0.7308477332787411,0.4266948470524566,0.019492036508854494,49.977483367557916,1.9283640305829968,0.021297300871740192,0.002410978591676935
50,0.008504300127954466,41033638536764.516,0.0068038709393557495,0.0006830819513534164,0.004329962545957667,0.021588762594850562,0.008643742037107521,0.14623261639068535,0.8050551471902501,0.05894839409371619,6.871911613341963,0.662581595801067,0.36929330681779216,0.011726943691043788,63.97153576650837,1.679292830242311,0.02039974047615442,700000000000.0
51,0.03126301677545065,2891915.2145082513,0.011826517325380207,0.009830648828803383,0.0030188317297365837,0.018073968059484864,0.009143602764228174,0.10345068625491019,0.7883974164486327,0.05661901047011411,7.152116755022533,0.8544486814432206,0.5014323153837811,0.05499995600055071,49.01263350125052,1.6399306922091037,0.020283262433955722,48027.54251011796
52,0.02061672310969267,0.6878577389263919,0.035242933168697255,0.0005650883129606856,0.007253634959219256,0.022575935905481934,0.03358506154726409,0.20958833836130025,0.40546150387274255,0.06379038710245959,10.877963073040497,0.7840841392153292,0.30400424147905775,0.037280010602399015,47.57942917133592,1.797039621113829,0.021134360030338972,0.02726715606320554
53,0.012707520819755078,49952263699455.26,0.0247416291895715,0.0055357561088170215,0.008853701380284174,0.025093345172600996,0.03161765461101154,0.2108451666489342,0.4899854544015108,0.06563859238263053,8.753512466944873,0.5266275298585987,0.6965306032365073,0.09115140950258634,60.999446836388614,2.210112491355215,0.02137028716759218,700000000000.0
