p,max_abs_eig,eig1,eig2,eig3,A_star,F_star,K_star
0.02836734693877551,0.7692659044338317,(0.6418782368089144+0.4239839157745024j),(0.6418782368089144-0.4239839157745024j),(-3.6705117449753565e-18+0j),1.2873123653224883,0.07150860124461599,1.687252467359657
0.030204081632653063,0.7687460551307824,(0.6419417902520098+0.4229435366655752j),(0.6419417902520098-0.4229435366655752j),(9.097735431802789e-18+0j),1.2878541435984026,0.07131514893579392,1.6856408677922392
0.032040816326530615,0.7682252775850407,(0.6420051595349268+0.4218998130494324j),(0.6420051595349268-0.4218998130494324j),(-8.638374183605113e-18+0j),1.288396685926906,0.07112146315583676,1.6840309288654463
0.03387755102040817,0.7677035695095237,(0.6420683443861617+0.42085271981404304j),(0.6420683443861617-0.42085271981404304j),(1.816580050451756e-17+0j),1.288939993492872,0.07092754361972341,1.6824226489212124
0.03571428571428572,0.76718092860775,(0.642131344534431+0.419802231516048j),(0.642131344534431-0.419802231516048j),(4.32044954347203e-18+0j),1.2894840674830137,0.07073339004214847,1.6808160263030523
0.037551020408163265,0.7666573525737811,(0.6421941597086702+0.41874832237456655j),(0.6421941597086702-0.41874832237456655j),(6.317646779909805e-18+0j),1.2900289090858805,0.07053900213752348,1.6792110593560616
0.03938775510204082,0.7661328390921578,(0.6422567896380309+0.41769096626484536j),(0.6422567896380309-0.41769096626484536j),(-7.660359182769642e-18+0j),1.290574519491861,0.070344379619978,1.6776077464269143
0.04122448979591837,0.7656073858378429,(0.6423192340518881+0.4166301367117503j),(0.6423192340518881-0.4166301367117503j),(1.0558910672771347e-17+0j),1.2911208998931825,0.07014952220335828,1.6760060858638612
0.04306122448979592,0.7650809904761641,(0.6423814926798411+0.4155658068831068j),(0.6423814926798411-0.4155658068831068j),(1.9131697495421092e-17+0j),1.29166805148392,0.06995442960122715,1.6744060760167279
0.04489795918367347,0.7645536506627448,(0.6424435652517131+0.41449794958286384j),(0.6424435652517131-0.41449794958286384j),(1.2454923683026102e-17+0j),1.2922159754599913,0.06975910152686579,1.672807715236913
0.046734693877551026,0.7640253640434561,(0.6425054514975596+0.4134265372441068j),(0.6425054514975596-0.4134265372441068j),(4.639487273915541e-18+0j),1.2927646730191618,0.06956353769327238,1.6712110018773874
0.04857142857142858,0.7634961282543399,(0.6425671511476615+0.4123515419218724j),(0.6425671511476615-0.4123515419218724j),(-1.5131328539272347e-17+0j),1.2933141453610484,0.06936773781316227,1.6696159342926906
0.05040816326530613,0.7629659409215613,(0.642628663932537+0.4112729352858096j),(0.642628663932537-0.4112729352858096j),(2.950234825548463e-17+0j),1.293864393687118,0.06917170159896878,1.6680225108389313
0.052244897959183675,0.7624347996613359,(0.6426899895829354+0.41019068861263497j),(0.6426899895829354-0.41019068861263497j),(1.4219033829529648e-17+0j),1.2944154192006914,0.06897542876284324,1.6664307298737835
0.05408163265306123,0.7619027020798707,(0.642751127829846+0.4091047727784033j),(0.642751127829846-0.4091047727784033j),(-2.2941402104383036e-17+0j),1.294967223106948,0.06877891901665349,1.6648405897564862
0.05591836734693878,0.7613696457733001,(0.6428120784044942+0.40801515825059115j),(0.6428120784044942-0.40801515825059115j),(-3.2736345274136784e-17+0j),1.2955198066129208,0.06858217207198719,1.663252088847841
0.05775510204081633,0.7608356283276213,(0.6428728410383482+0.40692181507995984j),(0.6428728410383482-0.40692181507995984j),(-1.7266123488732972e-17+0j),1.2960731709275066,0.06838518764014848,1.6616652255102111
0.059591836734693884,0.7603006473186306,(0.6429334154631201+0.40582471289222366j),(0.6429334154631201-0.40582471289222366j),(-3.1659258642699934e-18+0j),1.2966273172614609,0.06818796543216064,1.660079998107518
0.06142857142857144,0.7597647003118558,(0.6429938014107665+0.4047238208794932j),(0.6429938014107665-0.4047238208794932j),(-6.499399073561419e-18+0j),1.2971822468274057,0.06799050515876418,1.658496405005242
0.06326530612244897,0.759227784862492,(0.6430539986134916+0.4036191077914994j),(0.6430539986134916-0.4036191077914994j),(-1.2649117801695485e-17+0j),1.29773796083983,0.06779280653041884,1.656914444570418
0.06510204081632653,0.7586898985153354,(0.6431140068037511+0.4025105419265869j),(0.6431140068037511-0.4025105419265869j),(4.346172650607228e-17+0j),1.298294460515089,0.0675948692573022,1.6553341151716363
0.06693877551020408,0.758151038804717,(0.6431738257142514+0.40139809112247327j),(0.6431738257142514-0.40139809112247327j),(-5.902717704946714e-19+0j),1.298851747071408,0.06739669304931095,1.6537554151790386
0.06877551020408164,0.7576112032544313,(0.6432334550779539+0.4002817227467488j),(0.6432334550779539-0.4002817227467488j),(-1.525767334014454e-17+0j),1.2994098217288872,0.06719827761605977,1.6521783429643178
0.07061224489795918,0.7570703893776732,(0.6432928946280774+0.399161403687144j),(0.6432928946280774-0.399161403687144j),(-3.245420316142992e-17+0j),1.2999686857094999,0.0669996226668828,1.6506028969007156
0.07244897959183674,0.7565285946769668,(0.6433521440980978+0.39803710034152173j),(0.6433521440980978-0.39803710034152173j),(1.3772764816442262e-18+0j),1.300528340237094,0.06680072791083255,1.6490290753630208
0.07428571428571429,0.7559858166440944,(0.6434112032217536+0.39690877860759605j),(0.6434112032217536-0.39690877860759605j),(1.9195369288877153e-17+0j),1.301088786537401,0.06660159305668074,1.647456876727568
0.07612244897959183,0.7554420527600331,(0.6434700717330477+0.3957764038723872j),(0.6434700717330477-0.3957764038723872j),(1.2530225747376177e-17+0j),1.3016500258380284,0.06640221781291843,1.6458862993722356
0.07795918367346939,0.7548973004948756,(0.6435287493662444+0.39463994100137373j),(0.6435287493662444-0.39463994100137373j),(-1.088332427276832e-19+0j),1.3022120593684665,0.066202601887756,1.6443173416764438
0.07979591836734694,0.7543515573077658,(0.6435872358558806+0.3934993543273464j),(0.6435872358558806-0.3934993543273464j),(-1.4316115251316106e-17+0j),1.3027748883600934,0.06600274498912267,1.6427500020211534
0.08163265306122448,0.7538048206468243,(0.6436455309367604+0.392354607638966j),(0.6436455309367604-0.392354607638966j),(6.367355202070993e-17+0j),1.3033385140461713,0.06580264682466794,1.6411842787888635
0.08346938775510204,0.7532570879490764,(0.6437036343439595+0.3912056641689902j),(0.6437036343439595-0.3912056641689902j),(-1.2894826563273942e-17+0j),1.3039029376618532,0.06560230710176027,1.6396201703636106
0.08530612244897959,0.7527083566403813,(0.6437615458128308+0.39005248658217523j),(0.6437615458128308-0.39005248658217523j),(-2.557752710910175e-17+0j),1.3044681604441797,0.06540172552748852,1.6380576751309661
0.08714285714285715,0.7521586241353576,(0.643819265079005+0.38889503696283395j),(0.643819265079005-0.38889503696283395j),(4.243619566888897e-18+0j),1.3050341836320873,0.06520090180866137,1.636496791478035
0.08897959183673469,0.7516078878373054,(0.643876791878387+0.3877332768020456j),(0.643876791878387-0.3877332768020456j),(-2.923104487744119e-18+0j),1.3056010084664071,0.06499983565180721,1.6349375177934544
0.09081632653061225,0.7510561451381345,(0.6439341259471649+0.38656716698449084j),(0.6439341259471649-0.38656716698449084j),(3.457080055500447e-17+0j),1.3061686361898663,0.06479852676317516,1.6333798524673904
0.0926530612244898,0.750503393418293,(0.6439912670218124+0.3853966677749222j),(0.6439912670218124-0.3853966677749222j),(-4.711489348365135e-18+0j),1.3067370680470876,0.06459697484873417,1.6318237938915388
0.09448979591836734,0.7499496300466861,(0.6440482148390896+0.3842217388042265j),(0.6440482148390896-0.3842217388042265j),(-3.208726002805368e-17+0j),1.3073063052846017,0.06439517961417379,1.6302693404591213
0.0963265306122449,0.7493948523805986,(0.644104969136041+0.38304233905509555j),(0.644104969136041-0.38304233905509555j),(2.2281599804174328e-17+0j),1.3078763491508376,0.06419314076490484,1.628716490564885
0.09816326530612245,0.748839057765622,(0.6441615296500052+0.38185842684726756j),(0.6441615296500052-0.38185842684726756j),(1.4513353530775417e-17+0j),1.3084472008961288,0.06399085800605826,1.6271652426050998
0.1,0.7482822435355742,(0.6442178961186124+0.38066995982233887j),(0.6442178961186124-0.38066995982233887j),(-3.2106971976418894e-17+0j),1.3090188617727179,0.06378833104248607,1.6256155949775575
