B_index,beta,R_P,A_star,K_star
0.9375,0.016666666666666666,0.6249918710519858,2.2333283100524435,1.6568000474137845
0.9375,0.018125000000000002,0.7304508971984441,2.2333283100250108,1.656800047413907
0.9375,0.019583333333333335,0.8511192181120979,2.2333283100030368,1.6568000474140083
0.9375,0.021041666666666667,0.9888898967141097,2.2333283099967782,1.6568000474139708
0.9375,0.022500000000000003,1.1458614466188395,2.2333283099820997,1.656800047414119
0.9375,0.023958333333333335,1.3243574580721686,2.233328309970806,1.6568000474141797
0.9375,0.025416666666666667,1.526947942986215,2.233328309966216,1.6568000474142142
0.9375,0.026875000000000003,1.7564723892574785,2.2333283099723604,1.6568000474140734
0.9375,0.028333333333333335,2.0160648613165937,2.2333283099526056,1.656800047414308
0.9375,0.029791666666666668,2.3091810671293844,2.23332830994702,1.656800047414353
0.9375,0.03125,2.6396277388178095,2.2333283099408043,1.6568000474144033
0.9375,0.03270833333333333,3.011594399444169,2.2333283099364616,1.6568000474144489
0.9375,0.034166666666666665,3.429687632297082,2.2333283099298535,1.6568000474145073
0.9375,0.035625000000000004,3.898968275114978,2.2333283099239507,1.6568000474145659
0.9375,0.03708333333333333,4.424991408148796,2.23332830991811,1.6568000474146287
0.9375,0.03854166666666667,5.013849610429426,2.2333283099107586,1.656800047414702
0.9375,0.04,5.672219699739486,2.233328309903844,1.6568000474147784
1.0,0.005,0.14893188502492472,1.9921718797048664,1.6607615262083617
1.0,0.006458333333333333,0.17776890808852994,1.9921718797213637,1.6607615262082653
1.0,0.007916666666666667,0.21117064175462338,1.9921718797486225,1.6607615262081052
1.0,0.009375000000000001,0.2497393795995927,1.9921718797956258,1.660761526207829
1.0,0.010833333333333334,0.2941448753649909,1.9921718799180987,1.6607615262071072
1.0,0.012291666666666666,0.34513086455295394,1.9921718801020314,1.6607615262060254
1.0,0.013750000000000002,0.40352213622930216,1.992171880054382,1.660761526206304
1.0,0.015208333333333334,0.47023219805722133,1.9921718800049837,1.660761526206599
1.0,0.016666666666666666,0.5462715810124124,1.9921718798540904,1.6607615262075017
1.0,0.018125000000000002,0.6327568129211739,1.9921718797755337,1.660761526207977
1.0,0.019583333333333335,0.7309201597679071,1.9921718797424466,1.6607615262081818
1.0,0.021041666666666667,0.8421201247352532,1.9921718797248198,1.6607615262082958
1.0,0.022500000000000003,0.9678527981126208,1.9921718797014485,1.660761526208445
1.0,0.023958333333333335,1.1097641354867525,1.992171879692928,1.6607615262085063
1.0,0.025416666666666667,1.2696631619364895,1.9921718796800112,1.6607615262085953
1.0,0.026875000000000003,1.4495362757539945,1.9921718796744392,1.660761526208642
1.0,0.028333333333333335,1.6515625948799766,1.9921718796648549,1.6607615262087136
1.0,0.029791666666666668,1.8781305784368205,1.9921718796608645,1.6607615262087538
1.0,0.03125,2.1318558163391996,1.992171879652787,1.6607615262088202
1.0,0.03270833333333333,2.4156003068560916,1.992171879646765,1.6607615262088762
1.0,0.034166666666666665,2.732493077017722,1.9921718796418793,1.660761526208928
1.0,0.035625000000000004,3.085952405298555,1.9921718796349954,1.6607615262089936
1.0,0.03708333333333333,3.47970975586322,1.9921718796300196,1.6607615262090507
1.0,0.03854166666666667,3.9178353585382704,1.9921718796237455,1.6607615262091187
1.0,0.04,4.404765823475171,1.9921718796166556,1.6607615262091948
1.0625,0.005,0.1417338689976559,1.7643389500779152,1.6647592976088386
1.0625,0.006458333333333333,0.16703610896182694,1.7643389500907403,1.6647592976087395
1.0625,0.007916666666666667,0.19602928662214275,1.7643389501133742,1.6647592976085632
1.0625,0.009375000000000001,0.2291620574696582,1.7643389501529547,1.6647592976082546
1.0625,0.010833333333333334,0.2669293627507617,1.764338950232478,1.6647592976076329
1.0625,0.012291666666666666,0.3098765491514981,1.7643389504511022,1.6647592976059258
1.0625,0.013750000000000002,0.35860381200252645,1.7643389504906655,1.664759297605616
1.0625,0.015208333333333334,0.41377097449688444,1.7643389504630085,1.6647592976058319
1.0625,0.016666666666666666,0.4761026440633749,1.7643389504233855,1.664759297606145
1.0625,0.018125000000000002,0.5463937519840041,1.7643389503239957,1.6647592976069294
1.0625,0.019583333333333335,0.6255155133072664,1.7643389501853868,1.664759297608027
1.0625,0.021041666666666667,0.714421831966678,1.7643389501342106,1.664759297608437
1.0625,0.022500000000000003,0.8141561934648159,1.764338950112148,1.6647592976086183
1.0625,0.023958333333333335,0.9258590436551278,1.764338950090684,1.6647592976087315
1.0625,0.025416666666666667,1.0507757356135092,1.7643389500801379,1.6647592976088148
1.0625,0.026875000000000003,1.1902650201928868,1.7643389500557716,1.6647592976090897
1.0625,0.028333333333333335,1.3458081913062954,1.7643389500485689,1.6647592976091574
1.0625,0.029791666666666668,1.5190188389823602,1.7643389500369135,1.6647592976092616
1.0625,0.03125,1.7116533570485168,1.7643389500477407,1.6647592976090708
1.0625,0.03270833333333333,1.9256221131223543,1.7643389500229987,1.6647592976093992
1.0625,0.034166666666666665,2.16300150679792,1.7643389500165745,1.664759297609466
1.0625,0.035625000000000004,2.4260467707893394,1.7643389500332145,1.664759297609186
1.0625,0.03708333333333333,2.7172057103105622,1.7643389500037527,1.6647592976096046
1.0625,0.03854166666666667,3.039133419357266,1.7643389499988675,1.6647592976096648
1.0625,0.04,3.394707909568134,1.7643389499927578,1.6647592976097367
1.125,0.005,0.13479364589477844,1.5491200397963578,1.6688026913998035
1.125,0.006458333333333333,0.15680214082830904,1.5491200398125515,1.6688026913996443
1.125,0.007916666666666667,0.18174525842246342,1.5491200398350655,1.6688026913994227
1.125,0.009375000000000001,0.20994895130363256,1.5491200398665965,1.668802691399112
1.125,0.010833333333333334,0.24176989104881771,1.549120039922146,1.6688026913985639
1.125,0.012291666666666666,0.27759796597752073,1.5491200400375933,1.668802691397424
1.125,0.013750000000000002,0.3178589564456645,1.5491200402469651,1.6688026913953593
1.125,0.015208333333333334,0.36301739898859714,1.5491200403011303,1.6688026913948226
1.125,0.016666666666666666,0.41357965028200233,1.5491200402545404,1.6688026913952811
1.125,0.018125000000000002,0.47009716909042387,1.5491200401956897,1.6688026913958662
1.125,0.019583333333333335,0.5331700123159523,1.5491200401809637,1.6688026913960146
1.125,0.021041666666666667,0.6034505930263212,1.5491200399773573,1.6688026913980394
1.125,0.022500000000000003,0.6816476618229762,1.5491200399054201,1.668802691398759
1.125,0.023958333333333335,0.7685305982404089,1.5491200398736553,1.6688026913990803
1.125,0.025416666666666667,0.8649339536653601,1.549120039826957,1.6688026913995513
1.125,0.026875000000000003,0.9717623267502382,1.5491200398133038,1.668802691399694
1.125,0.028333333333333335,1.0899955293608112,1.5491200397999156,1.668802691399763
1.125,0.029791666666666668,1.2206941360278494,1.5491200397827962,1.6688026914000142
1.125,0.03125,1.3650053445519814,1.549120039766684,1.6688026914001841
1.125,0.03270833333333333,1.5241692820873287,1.549120039762753,1.6688026914002336
1.125,0.034166666666666665,1.699525637330249,1.5491200397502343,1.6688026914003697
1.125,0.035625000000000004,1.8925208151125814,1.5491200397411835,1.6688026914004725
1.125,0.03708333333333333,2.1047154692945367,1.5491200397371272,1.6688026914005267
1.125,0.03854166666666667,2.3377925284630194,1.5491200397280085,1.6688026914006322
1.125,0.04,2.5935657910767733,1.5491200397212088,1.6688026914007166
1.1875,0.005,0.128091060703543,1.345834590776194,1.6729016471807645
1.1875,0.006458333333333333,0.14703016800349628,1.3458345907826013,1.6729016471806883
1.1875,0.007916666666666667,0.1682545707346091,1.3458345908003602,1.6729016471804743
1.1875,0.009375000000000001,0.191993873025964,1.3458345908330744,1.6729016471800788
1.1875,0.010833333333333334,0.2184972477505857,1.345834590872768,1.6729016471795997
1.1875,0.012291666666666666,0.24803487360109966,1.3458345909418574,1.6729016471787643
1.1875,0.013750000000000002,0.2808994669761237,1.3458345910821308,1.6729016471770688
1.1875,0.015208333333333334,0.31740791069143115,1.3458345912986702,1.6729016471744533
1.1875,0.016666666666666666,0.35790298520435293,1.3458345913261207,1.6729016471741185
1.1875,0.018125000000000002,0.4027552114107361,1.345834591385282,1.6729016471734015
1.1875,0.019583333333333335,0.4523648070383092,1.3458345912851264,1.6729016471745861
1.1875,0.021041666666666667,0.5071637594119429,1.3458345912389564,1.6729016471751743
1.1875,0.022500000000000003,0.5676180450098905,1.345834591296547,1.6729016471744809
1.1875,0.023958333333333335,0.6342299583986668,1.345834591044642,1.6729016471775395
1.1875,0.025416666666666667,0.7075405972954292,1.3458345909059497,1.6729016471792284
1.1875,0.026875000000000003,0.7881325116810162,1.3458345908501599,1.6729016471799116
1.1875,0.028333333333333335,0.876632490766091,1.3458345908344582,1.6729016471801077
1.1875,0.029791666666666668,0.9737145195828701,1.3458345908009697,1.672901647180459
1.1875,0.03125,1.0801029357606693,1.3458345907799814,1.6729016471807832
1.1875,0.03270833333333333,1.1965757319051817,1.3458345907598621,1.6729016471810354
